"","V1","V2"
"1",26202.4698224509,36.1174321499594
"2",26204.2445548385,36.2612599251204
"3",26196.5399721673,36.0125610906253
"4",26198.2012976266,36.1508487602516
"5",26200.5467928109,36.6965049784159
"6",26202.2695003689,36.8464194941651
"7",26194.8239853503,36.5438394993602
"8",26196.4402366888,36.6877080134897
"9",26201.422376911,36.5174447116956
"10",26203.1544303695,36.6739634869381
"11",26195.5813872159,36.3696100281614
"12",26197.2024626206,36.5201176721602
"13",26194.9557509334,37.3870457271363
"14",26187.4734991911,37.6334268300702
"15",26193.2869149262,37.2510971534771
"16",26185.9047879748,37.4910540852941
"17",26194.1009289318,37.0811023448094
"18",26186.9081483795,37.3799529715213
"19",26195.7774973704,37.2230157334445
"20",26188.4856780374,37.5290573798109
"21",26195.1670797176,36.6472270160986
"22",26188.5869608371,36.9762818631831
"23",26196.8862338663,36.7773224309568
"24",26190.213910789,37.1299182173637
